Cruise,Species,Station,total_fish,bongo
202302,C_har,40,3,TRUE
202302,C_har,47,1,TRUE
202302,C_har,54,3,TRUE
202302,C_har,60,3,TRUE
202302,C_har,65,1,TRUE
202302,C_har,73,3,TRUE
202302,P_tri,10,3,TRUE
202302,P_tri,12,3,TRUE
202302,P_tri,22,4,TRUE
202302,P_tri,32,2,TRUE
202302,P_tri,46,3,TRUE
202302,P_tri,47,3,TRUE
202302,P_tri,60,3,TRUE
202302,P_tri,61,3,TRUE
202302,P_tri,66,3,TRUE
202302,P_tri,80,3,TRUE
202302,P_tri,82,3,TRUE
202302,P_tri,83,3,TRUE
202302,P_tri,84,3,TRUE
202302,S_sco,10,3,TRUE
202302,S_sco,40,3,TRUE
202302,S_sco,46,3,TRUE
202302,S_sco,60,2,TRUE
202302,S_sco,73,3,TRUE
202304,C_har,216,3,TRUE
202304,C_har,292,3,TRUE
202304,P_tri,131,3,TRUE
202304,P_tri,134,8,TRUE
202304,P_tri,135,3,TRUE
202304,P_tri,138,3,TRUE
202304,P_tri,150,8,TRUE
202304,P_tri,151,3,TRUE
202304,P_tri,169,3,TRUE
202304,P_tri,171,3,TRUE
202304,P_tri,172,3,TRUE
202304,P_tri,175,3,TRUE
202304,P_tri,179,3,TRUE
202304,P_tri,181,3,TRUE
202304,P_tri,182,3,TRUE
202304,P_tri,183,3,TRUE
202304,P_tri,206,6,TRUE
202304,P_tri,208,3,TRUE
202304,P_tri,210,5,TRUE
202304,P_tri,212,3,TRUE
202304,P_tri,214,3,TRUE
202304,P_tri,215,6,TRUE
202304,P_tri,216,3,TRUE
202304,P_tri,233,1,TRUE
202304,P_tri,244,6,TRUE
202304,P_tri,245,2,TRUE
202304,P_tri,247,6,TRUE
202304,P_tri,248,6,TRUE
202304,P_tri,249,3,TRUE
202304,P_tri,263,3,TRUE
202304,P_tri,265,3,TRUE
202304,P_tri,266,3,TRUE
202304,P_tri,275,5,TRUE
202304,P_tri,277,3,TRUE
202304,P_tri,279,3,TRUE
202304,P_tri,280,6,TRUE
202304,P_tri,286,3,TRUE
202304,S_sco,206,3,TRUE
202304,S_sco,212,3,TRUE
202304,S_sco,214,3,TRUE
202304,S_sco,215,3,TRUE
202304,S_sco,216,3,TRUE
202304,S_sco,244,3,TRUE
202304,S_sco,277,1,TRUE
202304,S_sco,286,3,TRUE
202402,C_har,376,5,TRUE
202402,C_har,378,3,TRUE
202402,C_har,382,1,TRUE
202402,C_har,510,3,TRUE
202402,C_har,783,1,TRUE
202402,P_tri,250,4,TRUE
202402,P_tri,264,4,TRUE
202402,P_tri,266,2,TRUE
202402,P_tri,282,4,TRUE
202402,P_tri,305,5,TRUE
202402,P_tri,335,1,TRUE
202402,P_tri,341,9,TRUE
202402,P_tri,349,5,TRUE
202402,P_tri,361,10,TRUE
202402,P_tri,372,9,TRUE
202402,P_tri,416,3,TRUE
202402,P_tri,535,3,TRUE
202402,P_tri,545,1,TRUE
202402,P_tri,779,5,TRUE
202402,P_tri,783,5,TRUE
202402,S_sco,376,5,TRUE
202402,S_sco,378,5,TRUE
202402,S_sco,390,5,TRUE
202402,S_sco,396,11,TRUE
202402,S_sco,398,4,TRUE
202402,S_sco,414,1,TRUE
202402,S_sco,504,6,TRUE
202402,S_sco,510,6,TRUE
202402,S_sco,535,3,TRUE
202402,S_sco,539,3,TRUE
202402,S_sco,549,1,TRUE
202402,S_sco,573,1,TRUE
202402,S_sco,626,3,TRUE
202402,S_sco,628,4,TRUE
202404,C_har,617,3,TRUE
202404,P_tri,259,10,TRUE
202404,P_tri,267,4,TRUE
202404,P_tri,290,5,TRUE
202404,P_tri,292,5,TRUE
202404,P_tri,319,10,TRUE
202404,P_tri,325,5,TRUE
202404,P_tri,329,5,TRUE
202404,P_tri,331,2,TRUE
202404,P_tri,337,5,TRUE
202404,P_tri,339,5,TRUE
202404,P_tri,341,5,TRUE
202404,P_tri,343,5,TRUE
202404,P_tri,347,5,TRUE
202404,P_tri,349,5,TRUE
202404,P_tri,351,6,TRUE
202404,P_tri,359,5,TRUE
202404,P_tri,361,1,TRUE
202404,P_tri,374,6,TRUE
202404,P_tri,414,4,TRUE
202404,P_tri,425,6,TRUE
202404,P_tri,444,4,TRUE
202404,P_tri,467,2,TRUE
202404,P_tri,475,3,TRUE
202404,P_tri,477,3,TRUE
202404,P_tri,479,4,TRUE
202404,P_tri,483,6,TRUE
202404,P_tri,485,6,TRUE
202404,P_tri,494,3,TRUE
202404,P_tri,496,3,TRUE
202404,P_tri,543,4,TRUE
202404,P_tri,544,6,TRUE
202404,P_tri,549,6,TRUE
202404,P_tri,557,5,TRUE
202404,P_tri,559,3,TRUE
202404,P_tri,617,3,TRUE
202404,P_tri,621,3,TRUE
202404,P_tri,631,7,TRUE
202404,S_sco,341,5,TRUE
202404,S_sco,343,2,TRUE
202404,S_sco,347,5,TRUE
202404,S_sco,349,4,TRUE
202404,S_sco,425,1,TRUE
202404,S_sco,473,3,TRUE
202404,S_sco,477,3,TRUE
202404,S_sco,485,1,TRUE
202404,S_sco,491,2,TRUE
202404,S_sco,549,3,TRUE
202404,S_sco,617,3,TRUE
202404,S_sco,621,3,TRUE
202404,S_sco,627,1,TRUE
202404,S_sco,629,4,TRUE
202404,S_sco,631,3,TRUE
