Cruise ,Station,Species,Date_collection,FID,Standard_length_mm,Fork_length_mm,Total_length_mm,Total_weight_g,Sex,Liver_weight_g,Gonad_weight_g,Evisc_weight_g,Stomach_weight_g,Stomach_content_weight_g,Musc_taken,Comments
201904,234,C_har,191013,1,209,228,252,125,F,0.98,19.28,100,NA,0.12,Y,
201904,234,C_har,191013,2,203,220,242,120,M,0.37,17.2,97,NA,0.38,Y,
201904,169,P_tri,190926,3,149,161,181,108,M,2.89,1,92,NA,1.36,Y,
201904,169,P_tri,190926,4,130,141,166,63,M,1.65,0.33,54,NA,1.18,Y,gonads orange-ish but still look male. Unsure of sex
201904,169,P_tri,190926,5,134,149,173,75,M,1.35,0.5,65,NA,1.5,Y,
201904,166,P_tri,190926,6,136,150,171,85,M,1.32,0.32,74,NA,1.72,Y,
201904,166,P_tri,190926,7,135,150,172,86,M,0.98,0.16,76,NA,1.21,Y,
201904,166,P_tri,190926,8,155,170,187,102,M,1.49,0.4,92,NA,0.9,Y,
201904,229,A_pse,191013,9,175,190,214,79.5,M,0.55,0.09,73.6,NA,0.56,Y,small gonads
201904,229,A_pse,191013,10,163,178,204,69.9,F,0.47,0.2,64.9,NA,0.65,Y,small gonads
201904,229,A_pse,191013,11,150,166,182,53.2,U,0.55,0.04,49.6,NA,0.29,Y,gonads too small to determine sex. Unsure sex
201904,229,P_tri,191013,12,134,148,175,85.5,M,1.05,0.53,78,NA,0.39,Y,
201904,229,P_tri,191013,13,133,142,168,75,M,1.18,0.56,66.5,NA,0.81,Y,
201904,229,P_tri,191013,14,134,146,166,73.2,M,1.05,0.45,65.6,NA,0.09,Y,
201904,183,P_tri,190928,15,110,121,137,37.3,M,0.51,0.27,32.5,NA,0.41,Y,
201904,183,P_tri,190928,16,116,127,146,45.6,M,0.98,0.36,39.7,NA,0.47,Y,
201904,208,P_tri,190930,17,116,126,141,46.6,M,0.82,0.2,40.9,NA,0.5,Y,
201904,208,P_tri,190930,18,115,126,144,48.6,M,0.97,0.07,42.6,NA,0.28,Y,
201904,208,P_tri,190930,19,122,133,153,55.5,M,1.01,0.29,48.8,NA,0.18,Y,
201904,218,P_tri,191001,20,123,136,158,58.3,M,1.03,0.4,53.5,NA,0.16,Y,
201904,218,P_tri,191001,21,130,143,165,60.7,M,0.89,0.44,55.1,NA,0.04,Y,
201904,218,P_tri,191001,22,122,134,154,55,M,0.8,0.26,51.1,NA,0.06,Y,
201904,169,A_pse,190926,23,196,213,236,135.2,F,1.28,0.32,122,NA,0.63,Y,"small gonads, pink but eggs not visible. Unsure of sex."
201904,169,A_pse,190926,24,187,203,229,99.4,F,1.19,0.27,90,NA,1.52,Y,"small gonads, pink but eggs not visible. Unsure of sex."
201904,169,A_pse,190926,25,184,201,226,97.8,F,0.92,0.19,89.6,NA,0.88,Y,Unsure of sex
201904,227,A_pse,191003,26,157,173,194,63.8,F,0.58,0.36,59.7,NA,0.39,Y,Unsure of sex
201904,216,A_pse,191001,27,154,167,191,56.8,U,0.61,0.06,53.2,NA,0.29,Y,extremely small gonads
201904,304,C_har,191023,28,201,214,235,115.3,M,0.99,16,93.8,NA,0.25,Y,
201904,304,C_har,191023,29,225,244,NA,142.6,F,3.15,1.33,125.8,NA,1.28,Y,caudal fin damaged
201904,304,C_har,191023,30,242,259,288,167.4,F,2.53,1.85,155,NA,0.83,Y,
201904,403,S_sco,191112,31,253,261,277,186,M,2.47,1.33,167.3,NA,1.36,Y,"gonads pink and white, no eggs visible. Unsure of sex"
201904,403,S_sco,191112,32,220,232,248,123.1,M,2.67,0.67,107.8,NA,1.76,Y,
201904,403,S_sco,191112,33,255,268,284,174.8,U,2.45,0.13,157.1,NA,1.42,Y,"very small gonads, could only find one gonad"
201904,400,S_sco,191111,34,255,270,286,188.1,U,2.41,0.18,169.9,NA,1.25,Y,very small gonads 
201904,400,S_sco,191111,35,286,302,322,253.2,M,3.34,3.33,230,NA,1.56,Y,
201904,400,S_sco,191111,36,254,266,286,176.2,U,2.84,0.27,156.3,NA,1.4,Y,very small gonads 
201904,314,C_har,191024,37,105,114,125,14.7,U,0.07,NA,11.8,NA,1.54,Y,gonads not visible
201904,314,C_har,191024,38,110,119,131,16.9,U,0.14,NA,13.9,NA,1.23,Y,gonads not visible
201904,314,C_har,191024,39,109,118,130,17.5,U,0.15,NA,15.4,NA,0.45,Y,gonads not visible
201904,283,P_tri,191020,40,150,165,NA,91.2,F,0.85,1.27,83.3,NA,0.17,Y,caudal fin damaged. Lyndsey confirmed sex is female
201904,283,P_tri,191020,41,147,159,NA,88.7,M,1.09,0.35,81.1,NA,0.18,Y,caudal in damaged 
201904,283,P_tri,191020,42,142,154,NA,92.2,F,1.24,0.75,84.1,NA,0.1,Y,caudal fin damaged 
201904,404,A_pse,191112,43,233,252,282,203.6,F,4.82,2.35,183.1,NA,1.49,Y,
201904,404,A_pse,191112,44,240,260,291,240.9,F,7.24,1.4,213.2,NA,2.92,Y,
201904,404,A_pse,191112,45,162,178,202,76.8,M,1.04,0.35,70,NA,0.56,Y,very small gonads. Unsure of sex
201904,308,C_har,191024,46,114,NA,NA,19.4,U,0.23,NA,17.6,NA,0.16,Y,caudal fin damaged. gonads not visible
201904,308,C_har,191024,47,120,NA,NA,23,U,0.24,0.03,20.4,NA,0.52,Y,caudal fin damaged. very small gonads
201904,308,C_har,191024,48,113,120,NA,17.9,U,0.29,0.02,15.9,NA,0.11,Y,caudal fin damaged. very small gonads
201904,308,A_pse,191024,49,171,183,NA,90.6,F,1.89,0.38,81.6,NA,0.79,Y,"caudal fin damaged. small, pink gonads. Unsure of sex"
201904,325,S_sco,191031,50,234,241,258,130.1,M,2.37,0.65,117.9,NA,0.86,Y,
201904,325,S_sco,191031,51,229,237,255,125.6,M,1.67,0.57,113.2,NA,2.23,Y,
201904,325,S_sco,191031,52,224,232,249,123.6,M,1.59,0.68,110,NA,2.82,Y,
201904,400,C_har,191111,53,242,258,283,167.5,F,2.28,1.79,154.4,NA,0.53,Y,
201904,400,C_har,191111,54,240,257,278,166.1,M,2.59,1.79,152.4,NA,0.7,Y,
201904,400,C_har,191111,55,239,254,276,152.3,F,1.4,1.75,138.9,NA,1.14,Y,
201904,401,S_sco,191111,56,259,267,281,192.8,F,3.36,0.24,175.5,NA,0.7,Y,very small gonads. Unsure of sex
201904,401,S_sco,191111,57,247,259,276,158.7,U,3.24,0.11,145.6,NA,1.01,Y,very small gonads
201904,401,S_sco,191111,58,266,281,294,229.6,F,4.7,3.02,206.5,NA,0.8,Y,
201904,404,C_har,191112,59,124,133,NA,21,U,0.24,NA,19.3,NA,0.19,Y,caudal fin damaged. gonads not visible
201904,313,C_har,191024,60,110,NA,NA,15,U,0.12,NA,13.4,NA,0.35,Y,caudal fin damaged. gonads not visible
201904,313,C_har,191024,61,115,124,NA,17.9,U,0.13,0.01,16.1,NA,0.39,Y,caudal fin damaged. very small gonads
201904,313,C_har,191024,62,106,114,NA,13.8,U,0.11,NA,12,NA,0.78,Y,caudal fin damaged. gonads not visible
201904,213,P_tri,191001,63,153,165,NA,103.4,M,1.54,0.89,93.9,NA,1.21,Y,caudal fin damaged
201904,213,P_tri,191001,64,151,165,183,117.9,F,2,1.39,104,NA,0.98,Y,"one ovary exploded inside body, gonad weight may not be accurate"
201904,213,P_tri,191001,65,150,163,NA,95,M,1.19,0.27,84.9,NA,1.66,Y,caudal fin damaged. could only find one gonad
201904,273,P_tri,191019,66,55,61,71,4.1,U,0.03,NA,3.5,NA,0.08,Y,gonads not visible
201904,273,P_tri,191019,67,60,67,75,4.8,U,0.03,NA,4.1,NA,0.12,Y,gonads not visible
201904,273,P_tri,191019,68,60,67,74,4.7,U,0.03,NA,4,NA,0.09,Y,gonads not visible
201904,257,P_tri,191016,69,78,85,94,11.7,U,0.14,NA,10.3,NA,0.05,Y,gonads not visible
201904,257,P_tri,191016,70,81,88,NA,12.8,U,0.16,NA,11.1,NA,0.11,Y,caudal fin damaged. gonads not visible
201904,257,P_tri,191016,71,81,NA,NA,13.3,U,0.16,NA,11.9,NA,0.09,Y,caudal fin damaged. gonads not visible
201904,305,C_har,191023,72,114,121,134,17.6,U,0.19,NA,15.7,NA,0.57,Y,gonads not visible
201904,268,C_har,191019,73,198,212,NA,101.3,M,0.75,10.33,84.3,NA,1.96,Y,caudal fin damaged
201904,400,A_pse,191111,74,216,236,261,164,M,2.25,0.54,146.9,NA,1.34,Y,
201904,275,P_tri,191020,75,120,131,152,47.7,M,0.8,0.32,43.3,NA,0.12,Y,Unsure of sex
201904,275,P_tri,191020,76,131,142,163,63.1,M,0.69,0.43,57.8,NA,0.13,Y,Unsure of sex
201904,275,P_tri,191020,77,127,140,161,61.3,M,0.72,0.38,55,NA,0.56,Y,Unsure of sex
201904,265,C_har,191018,78,240,254,277,157,F,3.58,1.91,139.8,NA,2.67,Y,Unsure of sex
201904,265,C_har,191018,79,249,263,NA,182.8,M,2.03,1.37,161.6,NA,6.35,Y,caudal fin damaged. Unsure of sex
201904,265,C_har,191018,80,245,258,286,187.3,M,2.84,1.64,159,NA,15.35,Y,
201904,265,C_har,191018,81,234,249,276,151.9,M,2.45,1.21,137,NA,2.38,Y,Unsure of sex
201904,231,C_har,191013,82,209,221,242,130.8,F,1.84,24.78,100.8,NA,0.12,Y,
201904,231,C_har,191013,83,208,222,245,128.4,M,0.91,22,102.1,NA,0.15,Y,
201904,231,C_har,191013,84,212,226,NA,129.1,F,1.46,20.29,103.7,NA,0.2,Y,caudal fin damaged
201904,231,P_tri,191013,85,67,76,86,8.18,U,0.09,NA,7.37,NA,0.07,Y,"gonads not visible. forgot to weigh gut content, weighed after putting it in EtOH (it was a solid clump and easy to pick out)"
201904,231,P_tri,191013,86,46,53,60,2.3,U,0.01,NA,2.19,NA,0.06,Y,
201904,231,P_tri,191013,87,127,NA,NA,60.3,M,1.23,0.37,53.9,NA,0.38,Y,caudal fin damaged. Unsure of sex
201904,195,P_tri,190929,88,126,137,159,61.2,M,1.16,0.46,54.7,NA,0.55,Y,Unsure of sex
201904,195,P_tri,190929,89,127,138,160,60,M,1.1,0.34,54.6,NA,0.17,Y,Unsure of sex
201904,195,P_tri,190929,90,122,131,153,57.1,M,1.16,0.15,50.7,NA,1.13,Y,
201904,260,P_tri,191016,91,40,46,50,1.43,U,0.007,NA,1.21,NA,0.013,Y,gonads not visible
201904,260,P_tri,191016,92,40,NA,NA,1.42,U,0.01,NA,1.2,NA,0.013,Y,caudal fin damaged. gonads not visible
201904,273,C_har,191020,93,126,NA,NA,26.8,U,0.3,NA,23.6,NA,0.85,Y,caudal fin damaged. gonads not visible
201904,313,C_har,191024,94,206,216,241,111.9,M,0.84,12.61,93,NA,1.51,Y,"broke glass vial with stomach contents, recovered as much of contents as possible (very solid and easy to pick up) but a small amount may have been lost"
201904,170,A_aes,190926,95,230,241,277,201.1,M,2.66,1.02,181.3,NA,0.92,Y,
201904,170,A_aes,190926,96,239,249,278,219.3,M,3,0.74,197.1,NA,1.59,Y,
201904,170,A_aes,190926,97,228,242,271,190.7,F,4.09,2.28,168.3,NA,2.4,Y,
201904,170,A_aes,190926,98,229,240,267,204.3,M,2.69,0.68,184.2,NA,1.05,Y,
201904,170,A_aes,190926,99,230,246,273,209.5,F,3.92,2.72,189.2,NA,0.6,Y,
201904,252,P_tri,191015,100,142,154,NA,91.3,F,1.3,0.91,84.21,NA,0.16,Y,caudal fin damaged. Unsure of sex
201904,252,P_tri,191015,101,136,147,170,70.26,F,0.856,0.486,64.34,NA,0.188,Y,Unsure of sex
201904,252,P_tri,191015,102,153,167,NA,108.05,F,1.789,1.691,98.49,NA,0.404,Y,caudal fin damaged. Unsure of sex
201904,266,C_har,191019,103,232,248,276,165.2,M,2.71,1.003,133.74,NA,16.971,Y,Unsure of sex
201904,266,C_har,191019,104,240,255,281,197.68,M,2.77,1.747,162.62,NA,18.485,Y,
201904,266,C_har,191019,105,238,253,281,175.15,M,1.972,1.383,142.6,NA,20.137,Y,
201904,179,P_tri,190927,106,121,133,NA,55.07,F,0.851,0.431,49.33,NA,0.618,Y,caudal fin damaged. Unsure of sex
201904,179,P_tri,190927,107,118,130,151,49.5,M,1.246,0.274,42.44,NA,0.796,Y,Unsure of sex
201904,170,A_pse,190926,108,159,173,192,61.24,U,1.082,0.049,56.78,NA,0.294,Y,small gonads. Unsure of sex
201904,170,A_pse,190926,109,210,226,257,158.39,M,2.973,0.705,141.57,NA,0.885,Y,Unsure of sex
201904,170,A_pse,190926,110,154,167,188,55.72,U,0.561,0.025,50.92,NA,0.916,Y,"very small gonads, only one visible"
201904,237,P_tri,191013,111,72,NA,NA,10.35,U,0.108,NA,9.19,NA,0.048,Y,caudal fin damaged. gonads not visible
201904,237,P_tri,191013,112,69,NA,NA,7.61,U,0.048,NA,6.64,NA,0.017,Y,caudal fin damaged. gonads not visible
201904,237,P_tri,191013,113,118,130,NA,45.19,M,0.433,0.061,41.26,NA,0.154,Y,"caudal fin damaged, small gonads. Unsure of sex"
